"cve","repo","cve_time","cwe_id","cwe","patch num","commit list","desc","cwe_type","commit"
"CVE-2010-2447","sitaramc_gitolite","2010/06/24","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","5fd9328
1e06fea","gitolite before 1.4.1 does not filter src/ or hooks/ from path names.","Improper Input Validation","['5fd9328c1cd1e7c576b6530b3253061c68b159aa', '1e06fea3b6959faeb72d8dca46cd4753ada48637']"
"CVE-2010-3718","apache_tomcat","2010/10/01","NVD-CWE-Other","[('NVD-CWE-Other', 'Other')]","2","f6db636
835f85e","Apache Tomcat 7.0.0 through 7.0.3, 6.0.x, and 5.5.x, when running within a SecurityManager, does not make the ServletContext attribute read-only, which allows local web applications to read or write files outside of the intended working directory, as demonstrated using a directory traversal attack.","Other","['f6db636b7addb1f7a01e361559bff2da21a11812', '835f85ed22b9f788e23b6f49893698770e9fcfe3']"
"CVE-2010-4172","apache_tomcat","2010/11/04","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","2","afd4b3b
2f0f80a","Multiple cross-site scripting (XSS) vulnerabilities in the Manager application in Apache Tomcat 6.0.12 through 6.0.29 and 7.0.0 through 7.0.4 allow remote attackers to inject arbitrary web script or HTML via the (1) orderBy or (2) sort parameter to sessionsList.jsp, or unspecified input to (3) sessionDetail.jsp or (4) java/org/apache/catalina/manager/JspHelper.java, related to use of untrusted web applications.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['afd4b3b3904593530c338e449b49198199694f4c', '2f0f80a6c36d6875c64f8c857e2e26661a3865d4']"
"CVE-2010-4254","mono_mono","2010/11/16","CWE-20","[('CWE-20', 'Improper Input Validation')]","3","65292a6
cf1ec14
4905ef1","Mono, when Moonlight before 2.3.0.1 or 2.99.x before 2.99.0.10 is used, does not properly validate arguments to generic methods, which allows remote attackers to bypass generic constraints, and possibly execute arbitrary code, via a crafted method call.","Improper Input Validation","['65292a69c837b8a5f7a392d34db63de592153358', 'cf1ec146f7c6acdc6697032b3aaafc68ffacdcac', '4905ef1130feb26c3150b28b97e4a96752e0d399']"
"CVE-2010-4534","django_django","2010/12/09","CWE-264","[('CWE-264', 'Permissions, Privileges, and Access Controls')]","3","1708483
85207a2
732198e","The administrative interface in django.contrib.admin in Django before 1.1.3, 1.2.x before 1.2.4, and 1.3.x before 1.3 beta 1 does not properly restrict use of the query string to perform certain object filtering, which allows remote authenticated users to obtain sensitive information via a series of requests containing regular expressions, as demonstrated by a created_by__password__regex parameter.","Permissions, Privileges, and Access Controls","['17084839fd7e267da5729f2a27753322b9d415a0', '85207a245bf09fdebe486b4c7bbcb65300f2a693', '732198ed5c2a127249970e0cd4218d093a38e9a2']"
"CVE-2010-4535","django_django","2010/12/09","CWE-20","[('CWE-20', 'Improper Input Validation')]","3","6819be1
d5d8942
7f8dd9c","The password reset functionality in django.contrib.auth in Django before 1.1.3, 1.2.x before 1.2.4, and 1.3.x before 1.3 beta 1 does not validate the length of a string representing a base36 timestamp, which allows remote attackers to cause a denial of service (resource consumption) via a URL that specifies a large base36 integer.","Improper Input Validation","['6819be1ea17ace34ae3a5c31ab0be960e99fcb85', 'd5d8942a160685c403d381a279e72e09de5489a9', '7f8dd9cbac074389af8d8fd235bf2cb657227b9a']"
"CVE-2010-4802","kraih_mojo","2011/05/02","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","b3a1fb4
aa7c8da","Commands.pm in Mojolicious before 0.999928 does not properly perform CGI environment detection, which has unspecified impact and remote attack vectors.","Improper Input Validation","['b3a1fb453eda447c0bb082cd9eed81bb75a7564a', 'aa7c8da54b1ebd4ccb64aa66dede7b7cdb381c44']"
"CVE-2010-5142","chef_chef","2012/08/08","CWE-264","[('CWE-264', 'Permissions, Privileges, and Access Controls')]","3","c3bb41f
2810e43
8d6de42","chef-server-api/app/controllers/users.rb in the API in Chef before 0.9.0 does not require administrative privileges for the create, destroy, and update methods, which allows remote authenticated users to manage user accounts via requests to the /users URI.","Permissions, Privileges, and Access Controls","['c3bb41f727fbe00e5de719d687757b24c8dcdfc8', '2810e43ca6c05046a9ba1392fd8163c3e617ddc1', '8d6de424c7ed977b3c7f232b585ef7d63647ac51']"
"CVE-2010-5328","torvalds_linux","2017/01/20","CWE-20","[('CWE-20', 'Improper Input Validation')]","3","fa2755e
f200114
f106eee","include/linux/init_task.h in the Linux kernel before 2.6.35 does not prevent signals with a process group ID of zero from reaching the swapper process, which allows local users to cause a denial of service (system crash) by leveraging access to this process group.","Improper Input Validation","['fa2755e20ab0c7215d99c2dc7c262e98a09b01df', 'f20011457f41c11edb5ea5038ad0c8ea9f392023', 'f106eee10038c2ee5b6056aaf3f6d5229be6dcdd']"
"CVE-2011-0013","apache_tomcat","2010/12/07","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","2","c8a9a43
1930114","Multiple cross-site scripting (XSS) vulnerabilities in the HTML Manager Interface in Apache Tomcat 5.5 before 5.5.32, 6.0 before 6.0.30, and 7.0 before 7.0.6 allow remote attackers to inject arbitrary web script or HTML, as demonstrated via the display-name tag.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['c8a9a43183e061f09eb5cf7cd5443cecd8699462', '1930114c4122f2b6f45d6b92e7790288b17e2ad2']"
"CVE-2011-0469","openSUSE_open-build-service","2011/01/14","CWE-94","[('CWE-94', ""Improper Control of Generation of Code ('Code Injection')"")]","2","76b0ab0
23c8d21","Code injection in openSUSE when running some source services used in the open build service 2.1 before March 11 2011.","Improper Control of Generation of Code ('Code Injection')","['76b0ab003f34435ca90d943e02dd22279cdeec2a', '23c8d21c75242999e29379e6ca8418a14c8725c6']"
"CVE-2011-0534","apache_tomcat","2011/01/20","CWE-399","[('CWE-399', 'Resource Management Errors')]","2","0084470
51640d6","Apache Tomcat 7.0.0 through 7.0.6 and 6.0.0 through 6.0.30 does not enforce the maxHttpHeaderSize limit for requests involving the NIO HTTP connector, which allows remote attackers to cause a denial of service (OutOfMemoryError) via a crafted request.","Resource Management Errors","['0084470', '51640d60c705e57450a105832d91ff4535a96851']"
"CVE-2011-0991","mono_mono","2011/02/14","CWE-399","[('CWE-399', 'Resource Management Errors')]","3","3f8ee42
89d1455
8eb1189","Use-after-free vulnerability in Mono, when Moonlight 2.x before 2.4.1 or 3.x before 3.99.3 is used, allows remote attackers to cause a denial of service or possibly have unspecified other impact via vectors related to finalizing and then resurrecting a DynamicMethod instance.","Resource Management Errors","['3f8ee42b8c867d9a4c18c22657840d072cca5c3a', '89d1455a80ef13cddee5d79ec00c06055da3085c', '8eb1189099e02372fd45ca1c67230eccf1edddc0']"
"CVE-2011-1007","bestpractical_rt","2011/02/14","CWE-255","[('CWE-255', 'Credentials Management Errors')]","2","917c211
0575522","Best Practical Solutions RT before 3.8.9 does not perform certain redirect actions upon a login, which allows physically proximate attackers to obtain credentials by resubmitting the login form via the back button of a web browser on an unattended workstation after an RT logout.","Credentials Management Errors","['917c211820590950f7eb0521f7f43b31aeed44c4', '057552287159e801535e59b8fbd5bd98d1322069']"
"CVE-2011-1088","apache_tomcat","2011/02/24","NVD-CWE-Other","[('NVD-CWE-Other', 'Other')]","5","0ff4905
3e5b045
5c8560f
2d7dbfe
ece65c1","Apache Tomcat 7.x before 7.0.10 does not follow ServletSecurity annotations, which allows remote attackers to bypass intended access restrictions via HTTP requests to a web application.","Other","['0ff4905158b77787a7f3aca55c9dec93456665dc', '3e5b0455483eed55752047073e92403bfca8d3ec', '5c8560f3054982abaa476d87ec031c439d58d66e', '2d7dbfe4c63a4242a9b28fdb662d91ceb7a84630', 'ece65c1a428094b1c6c17de3d7593f64e1bb1286']"
"CVE-2011-2204","apache_tomcat","2011/05/31","CWE-200","[('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')]","2","763a56b
0ecc464","Apache Tomcat 5.5.x before 5.5.34, 6.x before 6.0.33, and 7.x before 7.0.17, when the MemoryUserDatabase is used, creates log entries containing passwords upon encountering errors in JMX user creation, which allows local users to obtain sensitive information by reading a log file.","Exposure of Sensitive Information to an Unauthorized Actor","['763a56b45999653ce648a18462b8a826809215b1', '0ecc4643938de4ed889e85952b30bf76ac92732c']"
"CVE-2011-2481","apache_tomcat","2011/06/15","NVD-CWE-Other","[('NVD-CWE-Other', 'Other')]","5","8fa2101
279e445
81bb49a
3ab7d6b
3bbcc30","Apache Tomcat 7.0.x before 7.0.17 permits web applications to replace an XML parser used for other web applications, which allows local users to read or modify the (1) web.xml, (2) context.xml, or (3) tld files of arbitrary web applications via a crafted application that is loaded earlier than the target application.  NOTE: this vulnerability exists because of a CVE-2009-0783 regression.","Other","['8fa210147ffd98e8971cba56395726cc4a893ad7', '279e4451cb996f810fbca2f78b6340412d9daa7b', '81bb49ad58fc7b1177a86ba82abf0271d07ceeb7', '3ab7d6be13fd59b872bb5c3745ca06035e15ba3f', '3bbcc309a04bd2e2ef4730c86c501afd1947fbc1']"
"CVE-2011-2730","spring-projects_spring-framework","2011/07/11","CWE-16","[('CWE-16', 'Configuration')]","3","9772eb8
d95cbe2
c864908","VMware SpringSource Spring Framework before 2.5.6.SEC03, 2.5.7.SR023, and 3.x before 3.0.6, when a container supports Expression Language (EL), evaluates EL expressions in tags twice, which allows remote attackers to obtain sensitive information via a (1) name attribute in a (a) spring:hasBindErrors tag; (2) path attribute in a (b) spring:bind or (c) spring:nestedpath tag; (3) arguments, (4) code, (5) text, (6) var, (7) scope, or (8) message attribute in a (d) spring:message or (e) spring:theme tag; or (9) var, (10) scope, or (11) value attribute in a (f) spring:transform tag, aka ""Expression Language Injection.""","Configuration","['9772eb8410e37cd0bdec0d1b133218446c778beb', 'd95cbe23ee462245c5c2482e175f7b2a921b31c', 'c8649087792d07df209fc75e0f9e2e3284e09fe']"
"CVE-2011-2732","spring-projects_spring-security","2011/07/11","CWE-94","[('CWE-94', ""Improper Control of Generation of Code ('Code Injection')"")]","3","f5fbda4
a087e82
5238ba0","CRLF injection vulnerability in the logout functionality in VMware SpringSource Spring Security before 2.0.7 and 3.0.x before 3.0.6 allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via the spring-security-redirect parameter.","Improper Control of Generation of Code ('Code Injection')","['f5fbda42e5f494f1a8aa96a0f8b35d60a4f57556', 'a087e828a63edf0932e4eecf174cf816cbe6a58a', '5238ba0e2615ef733a906b264c6c06a4446a886b']"
"CVE-2011-2929","rails_rails","2011/07/27","CWE-20","[('CWE-20', 'Improper Input Validation')]","3","5f94b93
e0c03f8
09ad48f","The template selection functionality in actionpack/lib/action_view/template/resolver.rb in Ruby on Rails 3.0.x before 3.0.10 and 3.1.x before 3.1.0.rc6 does not properly handle glob characters, which allows remote attackers to render arbitrary views via a crafted URL, related to a ""filter skipping vulnerability.""","Improper Input Validation","['5f94b93279f6d0682fafb237c301302c107a9552', 'e0c03f8a2e727619c1eb1822d100d8c920d8bf12', '09ad48f22e0b32b6485bc122f7f220045aed1198']"
"CVE-2011-2930","rails_rails","2011/07/27","CWE-89","[('CWE-89', ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"")]","4","8a39f41
f9b642c
fb4747b
6b46d65","Multiple SQL injection vulnerabilities in the quote_table_name method in the ActiveRecord adapters in activerecord/lib/active_record/connection_adapters/ in Ruby on Rails before 2.3.13, 3.0.x before 3.0.10, and 3.1.x before 3.1.0.rc5 allow remote attackers to execute arbitrary SQL commands via a crafted column name.","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","['8a39f411dc3c806422785b1f4d5c7c9d58e4bf85', 'f9b642cb15d37c9fc76c98ba4c11fa181b730178', 'fb4747bcf1659a94d76ac221d66ce44148ca7b49', '6b46d655978ace0a6cfa6ad8b814d97c86a8830f']"
"CVE-2011-2931","rails_rails","2011/07/27","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","4","586a944
3480d97
66c3e31
60f783d","Cross-site scripting (XSS) vulnerability in the strip_tags helper in actionpack/lib/action_controller/vendor/html-scanner/html/node.rb in Ruby on Rails before 2.3.13, 3.0.x before 3.0.10, and 3.1.x before 3.1.0.rc5 allows remote attackers to inject arbitrary web script or HTML via a tag with an invalid name.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['586a944ddd4d03e66dea1093306147594748037a', '3480d97b6c9f657ca1d0f11ac1e3e17baf84cdb2', '66c3e31dcf314ab0fcabe717576d0b606c685d0e', '60f783d9cedb151230074c216b338267e288d72d']"
"CVE-2011-3188","torvalds_linux","2011/08/19","NVD-CWE-Other","[('NVD-CWE-Other', 'Other')]","2","bc0b96b
6e5714e","The (1) IPv4 and (2) IPv6 implementations in the Linux kernel before 3.1 use a modified MD4 algorithm to generate sequence numbers and Fragment Identification values, which makes it easier for remote attackers to cause a denial of service (disrupted networking) or hijack network sessions by predicting these values and sending crafted packets.","Other","['bc0b96b54a21246e377122d54569eef71cec535f', '6e5714eaf77d79ae1c8b47e3e040ff5411b717ec']"
"CVE-2011-3211","solj_bcfg2","2011/08/19","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","46795ae
f4a35ef","The server in Bcfg2 1.1.2 and earlier, and 1.2 prerelease, allows remote attackers to execute arbitrary commands via shell metacharacters in data received from a client.","Improper Input Validation","['46795ae451ca6ede55a0edeb726978aef4684b53', 'f4a35efec1b6a1e54d61cf1b8bfc83dd1d89eef7']"
"CVE-2011-3346","bonzini_qemu","2011/08/30","CWE-119","[('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')]","2","7285477
103b40f","Buffer overflow in hw/scsi-disk.c in the SCSI subsystem in QEMU before 0.15.2, as used by Xen, might allow local guest users with permission to access the CD-ROM to cause a denial of service (guest crash) via a crafted SAI READ CAPACITY SCSI command.  NOTE: this is only a vulnerability when root has manually modified certain permissions or ACLs.","Improper Restriction of Operations within the Bounds of a Memory Buffer","['7285477ab11831b1cf56e45878a89170dd06d9b9', '103b40f51e4012b3b0ad20f615562a1806d7f49a']"
"CVE-2011-3357","mantisbt_mantisbt","2011/08/30","CWE-22","[('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")]","2","6ede60d
5b93161","Directory traversal vulnerability in bug_actiongroup_ext_page.php in MantisBT before 1.2.8 allows remote attackers to include and execute arbitrary local files via a .. (dot dot) in the action parameter, related to bug_actiongroup_page.php.","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","['6ede60d3db9e202044f135001589cce941ff6f0f', '5b93161f3ece2f73410c296fed8522f6475d273d']"
"CVE-2011-3578","mantisbt_mantisbt","2011/09/21","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","2","6ede60d
5b93161","Cross-site scripting (XSS) vulnerability in bug_actiongroup_ext_page.php in MantisBT before 1.2.8 allows remote attackers to inject arbitrary web script or HTML via the action parameter, related to bug_actiongroup_page.php, a different vulnerability than CVE-2011-3357.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['6ede60d3db9e202044f135001589cce941ff6f0f', '5b93161f3ece2f73410c296fed8522f6475d273d']"
"CVE-2011-3869","puppetlabs_puppet","2011/09/29","CWE-59","[('CWE-59', ""Improper Link Resolution Before File Access ('Link Following')"")]","3","7d4c169
2775c21
e7a6995","Puppet 2.7.x before 2.7.5, 2.6.x before 2.6.11, and 0.25.x allows local users to overwrite arbitrary files via a symlink attack on the .k5login file.","Improper Link Resolution Before File Access ('Link Following')","['7d4c169df84fc7bbeb2941bf995a63470f71bdbd', '2775c21ae48e189950dbea5e7b4d1d9fa2aca41c', 'e7a69952c052e89acc5b57a51ac0680a7a9a5977']"
"CVE-2011-3872","puppetlabs_puppet","2011/09/29","CWE-20","[('CWE-20', 'Improper Input Validation')]","4","94345eb
bab9310
e4ee794
9ee1215","Puppet 2.6.x before 2.6.12 and 2.7.x before 2.7.6, and Puppet Enterprise (PE) Users 1.0, 1.1, and 1.2 before 1.2.4, when signing an agent certificate, adds the Puppet master's certdnsnames values to the X.509 Subject Alternative Name field of the certificate, which allows remote attackers to spoof a Puppet master via a man-in-the-middle (MITM) attack against an agent that uses an alternate DNS name for the master, aka ""AltNames Vulnerability.""","Improper Input Validation","['94345ebac6d79a890efc5f49e136c4f76ddda3ef', 'bab9310d2800dd3c24e002f9d85c808ee38c9d3c', 'e4ee7947fd58e4fc49c5bce484cce7b5f60470ae', '9ee12151e9c83d2b477ea5b04dd7d52e749a6992']"
"CVE-2011-4127","torvalds_linux","2011/10/18","CWE-264","[('CWE-264', 'Permissions, Privileges, and Access Controls')]","2","ec8013b
0bfc96c","The Linux kernel before 3.2.2 does not properly restrict SG_IO ioctl calls, which allows local users to bypass intended restrictions on disk read and write operations by sending a SCSI command to (1) a partition block device or (2) an LVM volume.","Permissions, Privileges, and Access Controls","['ec8013beddd717d1740cfefb1a9b900deef85462', '0bfc96cb77224736dfa35c3c555d37b3646ef35e']"
"CVE-2011-4802","Dolibarr_dolibarr","2011/12/13","CWE-89","[('CWE-89', ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"")]","4","c539155
d08d28c
63820ab
762f98a","Multiple SQL injection vulnerabilities in Dolibarr 3.1.0 RC and probably earlier allow remote authenticated users to execute arbitrary SQL commands via the (1) sortfield, (2) sortorder, and (3) sall parameters to user/index.php and (b) user/group/index.php; the id parameter to (4) info.php, (5) perms.php, (6) param_ihm.php, (7) note.php, and (8) fiche.php in user/; and (9) rowid parameter to admin/boxes.php.","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","['c539155d6ac2f5b6ea75b87a16f298c0090e535a', 'd08d28c0cda1f762a47cc205d4363de03df16675', '63820ab37537fdff842539425b2bf2881f0d8e91', '762f98ab4137749d0993612b4e3544a4207e78a1']"
"CVE-2011-4814","Dolibarr_dolibarr","2011/12/13","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","4","d08d28c
c539155
63820ab
762f98a","Multiple cross-site scripting (XSS) vulnerabilities in Dolibarr 3.1.0 RC and probably earlier allow remote attackers to inject arbitrary web script or HTML via the PATH_INFO to (1) index.php, (2) admin/boxes.php, (3) comm/clients.php, (4) commande/index.php; and the optioncss parameter to (5) admin/ihm.php and (6) user/home.php.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['d08d28c0cda1f762a47cc205d4363de03df16675', 'c539155d6ac2f5b6ea75b87a16f298c0090e535a', '63820ab37537fdff842539425b2bf2881f0d8e91', '762f98ab4137749d0993612b4e3544a4207e78a1']"
"CVE-2011-4838","jruby_jruby","2011/12/15","CWE-400","[('CWE-400', 'Uncontrolled Resource Consumption')]","3","f007944
cc77504
c1c9f95","JRuby before 1.6.5.1 computes hash values without restricting the ability to trigger hash collisions predictably, which allows context-dependent attackers to cause a denial of service (CPU consumption) via crafted input to an application that maintains a hash table.","Uncontrolled Resource Consumption","['f007944b459e7c5e33b8296433d8b9d704bf02cc', 'cc77504eda2546a36d3ca45d30e9dc3cc7a38bf6', 'c1c9f95ed29cb93806fbc90e9eaabb9c406581e5']"
